names,labels
train/benign/benign (428).png,0
train/benign/benign (17).png,0
train/benign/benign (252).png,0
train/benign/benign (294).png,0
train/benign/benign (380).png,0
train/benign/benign (220).png,0
train/benign/benign (327).png,0
train/benign/benign (402).png,0
train/benign/benign (34).png,0
train/benign/benign (229).png,0
train/benign/benign (98).png,0
train/benign/benign (187).png,0
train/benign/benign (415).png,0
train/benign/benign (30).png,0
train/benign/benign (403).png,0
train/benign/benign (297).png,0
train/benign/benign (378).png,0
train/benign/benign (265).png,0
train/benign/benign (140).png,0
train/benign/benign (255).png,0
train/benign/benign (56).png,0
train/benign/benign (355).png,0
train/benign/benign (337).png,0
train/benign/benign (249).png,0
train/benign/benign (57).png,0
train/benign/benign (405).png,0
train/benign/benign (381).png,0
train/benign/benign (95).png,0
train/benign/benign (141).png,0
train/benign/benign (81).png,0
train/benign/benign (53).png,0
train/benign/benign (62).png,0
train/benign/benign (8).png,0
train/benign/benign (373).png,0
train/benign/benign (90).png,0
train/benign/benign (298).png,0
train/benign/benign (177).png,0
train/benign/benign (312).png,0
train/benign/benign (179).png,0
train/benign/benign (329).png,0
train/benign/benign (59).png,0
train/benign/benign (429).png,0
train/benign/benign (199).png,0
train/benign/benign (86).png,0
train/benign/benign (87).png,0
train/benign/benign (75).png,0
train/benign/benign (406).png,0
train/benign/benign (391).png,0
train/benign/benign (371).png,0
train/benign/benign (302).png,0
train/benign/benign (419).png,0
train/benign/benign (22).png,0
train/benign/benign (351).png,0
train/benign/benign (69).png,0
train/benign/benign (165).png,0
train/benign/benign (281).png,0
train/benign/benign (169).png,0
train/benign/benign (342).png,0
train/benign/benign (158).png,0
train/benign/benign (115).png,0
train/benign/benign (120).png,0
train/benign/benign (108).png,0
train/benign/benign (305).png,0
train/benign/benign (414).png,0
train/benign/benign (161).png,0
train/benign/benign (155).png,0
train/benign/benign (49).png,0
train/benign/benign (178).png,0
train/benign/benign (333).png,0
train/benign/benign (268).png,0
train/benign/benign (195).png,0
train/benign/benign (274).png,0
train/benign/benign (139).png,0
train/benign/benign (167).png,0
train/benign/benign (409).png,0
train/benign/benign (160).png,0
train/benign/benign (210).png,0
train/benign/benign (32).png,0
train/benign/benign (201).png,0
train/benign/benign (437).png,0
train/benign/benign (188).png,0
train/benign/benign (174).png,0
train/benign/benign (72).png,0
train/benign/benign (388).png,0
train/benign/benign (233).png,0
train/benign/benign (260).png,0
train/benign/benign (348).png,0
train/benign/benign (91).png,0
train/benign/benign (257).png,0
train/benign/benign (93).png,0
train/benign/benign (164).png,0
train/benign/benign (246).png,0
train/benign/benign (330).png,0
train/benign/benign (134).png,0
train/benign/benign (377).png,0
train/benign/benign (58).png,0
train/benign/benign (244).png,0
train/benign/benign (25).png,0
train/benign/benign (74).png,0
train/benign/benign (270).png,0
train/benign/benign (334).png,0
train/benign/benign (435).png,0
train/benign/benign (189).png,0
train/benign/benign (218).png,0
train/benign/benign (78).png,0
train/benign/benign (54).png,0
train/benign/benign (357).png,0
train/benign/benign (338).png,0
train/benign/benign (223).png,0
train/benign/benign (13).png,0
train/benign/benign (352).png,0
train/benign/benign (145).png,0
train/benign/benign (190).png,0
train/benign/benign (375).png,0
train/benign/benign (41).png,0
train/benign/benign (215).png,0
